id,topic_id,timestamp,data
113,1,1747504342132847814,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000033.59, RMS: 0.00, \xcf\x83_lat: 0.72 m, \xcf\x83_lon: 0.72 m, \xcf\x83_alt: 84.85 m\x00\x00'"
114,1,1747504342132921064,"b'\x00\x01\x00\x007\x00\x00\x00[GNVTG] Track: 0.00 deg, Speed: 0.01 knots / 0.02 km/h\x00\x00'"
115,1,1747504342133037561,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000033.59\x00\x00\x00'"
116,1,1747504342133225916,b'\x00\x01\x00\x00\x1a\x00\x00\x00[GNHDT] Yaw: 0.00 degrees\x00\x00\x00'
117,1,1747504342133335662,"b'\x00\x01\x00\x00B\x00\x00\x00[PKHM] Roll:  3.697717\xc2\xb0, Pitch:  0.330665\xc2\xb0, Yaw:  0.001432*2A\xc2\xb0\x00\x00\x00'"
118,1,1747504342333576758,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.459m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
119,1,1747504342333729366,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000033.79, RMS: 0.00, \xcf\x83_lat: 0.69 m, \xcf\x83_lon: 0.69 m, \xcf\x83_alt: 84.85 m\x00\x00'"
120,1,1747504342333841846,"b'\x00\x01\x00\x007\x00\x00\x00[GNVTG] Track: 0.00 deg, Speed: 0.00 knots / 0.00 km/h\x00\x00'"
121,1,1747504342333965771,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000033.79\x00\x00\x00'"
122,1,1747504342334067933,b'\x00\x01\x00\x00\x1a\x00\x00\x00[GNHDT] Yaw: 0.00 degrees\x00\x00\x00'
123,1,1747504342334134451,"b'\x00\x01\x00\x00B\x00\x00\x00[PKHM] Roll:  3.673181\xc2\xb0, Pitch:  0.332852\xc2\xb0, Yaw:  0.003172*20\xc2\xb0\x00\x00\x00'"
124,1,1747504342525760286,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.462m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
125,1,1747504342525864781,"b'\x00\x01\x00\x00U\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00\x00\x00\x00'"
126,1,1747504342525937073,"b'\x00\x01\x00\x00U\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00\x00\x00\x00'"
127,1,1747504342526111036,"b'\x00\x01\x00\x00\\\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: 6 9 10 \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00'"
128,1,1747504342526277416,"b'\x00\x01\x00\x00a\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: 14 21 26 33 \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00\x00\x00\x00'"
129,1,1747504342526481114,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000033.99, RMS: 0.00, \xcf\x83_lat: 0.67 m, \xcf\x83_lon: 0.67 m, \xcf\x83_alt: 84.86 m\x00\x00'"
